trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-4.52841778846385,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,8,5.911379624179269,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-75.11644664788867,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-36.637675570533965,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-30.196109633968746,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,0,-109.00672020415041,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,5,-75.426268824609,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-47.0391363725605,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-87.74345442756236,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-117.83824599372792,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",30,18,-50.15916442742086,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",30,0,-57.15455341692824,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",20,0,-56.07124198557368,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-55.97858834356743,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-45.30074237061568,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-47.162910159990474,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-93.37444787441865,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-22.522735288362878,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,0,-121.80474316616693,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-38.83604538680583,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",30,21,-10.607080788076583,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-154.9612059626015,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-79.27939237230996,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,5,-21.710142171394903,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,11,-37.070826264878114,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,16,-7.504264690674285,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
